cell_type,chrom,start,end,length_bp,n_ccre,tau_specificity,ccre_ids,target_gene,gene_dist_bp,gene_link_method,gene_expr_specificity,specificity_per_bp,composite_score,motif_score,composite_rank,mouse_ortholog,human_gene_spec,mouse_gene_spec,conservation_score,translatability_flag,conservation_method
Hepatocyte,chr4,73405980,73406380,400,1,0.995475113122172,cCRE587903,ALB,9066.0,nearest_TSS_gencode_v44,1.0,0.0024886877828054297,0.995475113122172,,1,Fbf1;Alb,1.0,,,mouse_expr_unmeasured,gene_level_ortholog_expression_concordance
Hepatocyte,chr4,73378884,73379284,400,1,0.9864253393665159,cCRE587895,ALB,18030.0,nearest_TSS_gencode_v44,1.0,0.00246606334841629,0.9864253393665159,,2,Fbf1;Alb,1.0,,,mouse_expr_unmeasured,gene_level_ortholog_expression_concordance
Hepatocyte,chr4,73411861,73412261,400,1,0.9819004524886877,cCRE587904,ALB,14947.0,nearest_TSS_gencode_v44,1.0,0.0024547511312217195,0.9819004524886877,,3,Fbf1;Alb,1.0,,,mouse_expr_unmeasured,gene_level_ortholog_expression_concordance
Hepatocyte,chr4,73403948,73404348,400,1,0.9773755656108597,cCRE587902,ALB,7034.0,nearest_TSS_gencode_v44,1.0,0.002443438914027149,0.9773755656108597,,4,Fbf1;Alb,1.0,,,mouse_expr_unmeasured,gene_level_ortholog_expression_concordance
Hepatocyte,chr4,73388825,73389225,400,1,0.9683257918552036,cCRE587897,ALB,8089.0,nearest_TSS_gencode_v44,1.0,0.002420814479638009,0.9683257918552036,,5,Fbf1;Alb,1.0,,,mouse_expr_unmeasured,gene_level_ortholog_expression_concordance
Hepatocyte,chr4,73375376,73375776,400,1,0.9638009049773756,cCRE587894,ALB,21538.0,nearest_TSS_gencode_v44,1.0,0.002409502262443439,0.9638009049773756,,6,Fbf1;Alb,1.0,,,mouse_expr_unmeasured,gene_level_ortholog_expression_concordance
Hepatocyte,chr4,73415887,73416287,400,1,0.9864253393665159,cCRE587907,AFP,15051.0,nearest_TSS_gencode_v44,0.7248549160430425,0.00246606334841629,0.8507202979578807,,7,Afp,0.7248549160430425,,,mouse_expr_unmeasured,gene_level_ortholog_expression_concordance
Hepatocyte,chr4,73414465,73414865,400,1,0.9819004524886877,cCRE587905,AFP,16473.0,nearest_TSS_gencode_v44,0.7248549160430425,0.0024547511312217195,0.8468179112700004,,8,Afp,0.7248549160430425,,,mouse_expr_unmeasured,gene_level_ortholog_expression_concordance
Hepatocyte,chr4,73451494,73451894,400,1,0.9411764705882353,cCRE587925,AFP,20556.0,nearest_TSS_gencode_v44,0.7248549160430425,0.002352941176470588,0.8116964310790787,,9,Afp,0.7248549160430425,,,mouse_expr_unmeasured,gene_level_ortholog_expression_concordance
Hepatocyte,chr3,186612685,186613085,400,1,0.9773755656108597,cCRE563252,AHSG,175.0,nearest_TSS_gencode_v44,0.6588438187865348,0.002443438914027149,0.8106567078232839,,10,Ahsg,0.6588438187865348,,,mouse_expr_unmeasured,gene_level_ortholog_expression_concordance
Hepatocyte,chr3,186605089,186605489,400,1,0.9728506787330317,cCRE563248,AHSG,7771.0,nearest_TSS_gencode_v44,0.6588438187865348,0.0024321266968325792,0.8069036675092872,,11,Ahsg,0.6588438187865348,,,mouse_expr_unmeasured,gene_level_ortholog_expression_concordance
Hepatocyte,chr4,73453611,73454011,400,1,0.9321266968325792,cCRE587928,AFP,22673.0,nearest_TSS_gencode_v44,0.7248549160430425,0.002330316742081448,0.8038916577033184,,12,Afp,0.7248549160430425,,,mouse_expr_unmeasured,gene_level_ortholog_expression_concordance
Hepatocyte,chr11,18262692,18263092,400,1,0.9909502262443439,cCRE125836,SAA1,3368.0,nearest_TSS_gencode_v44,0.6115797099615516,0.0024773755656108598,0.7984976390985968,,13,Saa1;Saa2,0.6115797099615516,,,mouse_expr_unmeasured,gene_level_ortholog_expression_concordance
Hepatocyte,chr11,18288652,18289052,400,1,0.9773755656108597,cCRE125849,SAA1,22592.0,nearest_TSS_gencode_v44,0.6115797099615516,0.002443438914027149,0.7875593152753284,,14,Saa1;Saa2,0.6115797099615516,,,mouse_expr_unmeasured,gene_level_ortholog_expression_concordance
Hepatocyte,chr11,18271067,18271467,400,1,0.9728506787330317,cCRE125843,SAA1,5007.0,nearest_TSS_gencode_v44,0.6115797099615516,0.0024321266968325792,0.7839132073342389,,15,Saa1;Saa2,0.6115797099615516,,,mouse_expr_unmeasured,gene_level_ortholog_expression_concordance
Hepatocyte,chr3,186606216,186606616,400,1,0.9411764705882353,cCRE563249,AHSG,6644.0,nearest_TSS_gencode_v44,0.6588438187865348,0.002352941176470588,0.7806323853113104,,16,Ahsg,0.6588438187865348,,,mouse_expr_unmeasured,gene_level_ortholog_expression_concordance
Hepatocyte,chr16,72044921,72045321,400,1,0.9864253393665159,cCRE306097,HP,9384.0,nearest_TSS_gencode_v44,0.5721570143960232,0.00246606334841629,0.7754077582315229,,17,Dlc1;Hp,0.5721570143960232,,,mouse_expr_unmeasured,gene_level_ortholog_expression_concordance
Hepatocyte,chr3,133712033,133712433,400,1,0.9819004524886877,cCRE546503,TF,33807.0,nearest_TSS_gencode_v44,0.5545400017357159,0.0024547511312217195,0.7632017655580324,,18,Trf;F3,0.5545400017357159,,,mouse_expr_unmeasured,gene_level_ortholog_expression_concordance
Hepatocyte,chr11,18259282,18259682,400,1,0.9411764705882353,cCRE125835,SAA1,6778.0,nearest_TSS_gencode_v44,0.6115797099615516,0.002352941176470588,0.7583904517466126,,19,Saa1;Saa2,0.6115797099615516,,,mouse_expr_unmeasured,gene_level_ortholog_expression_concordance
Hepatocyte,chr16,72043068,72043468,400,1,0.9638009049773756,cCRE306096,HP,11237.0,nearest_TSS_gencode_v44,0.5721570143960232,0.002409502262443439,0.7576231766207081,,20,Dlc1;Hp,0.5721570143960232,,,mouse_expr_unmeasured,gene_level_ortholog_expression_concordance
